Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
225204,22,152.4,73.9,68,76,1300000,1,3,45,58,59,72,44,64,47,44,71,67,66,66,59,63,72,75,58,71,73,59,70,66,65,63,53,59,62,64,61,8,15,12,11,11
224436,24,190.5,74.8,68,71,950000,1,2,55,35,69,56,45,56,50,31,54,60,54,54,55,52,56,49,69,55,74,39,75,66,34,49,36,61,67,70,67,8,16,7,8,13
202164,27,182.88,73,68,70,900000,1,2,46,52,67,69,50,54,54,51,64,61,67,52,67,63,68,67,79,84,74,58,80,64,47,51,59,62,63,68,67,16,8,11,14,15
182451,31,187.96,78,68,68,575000,1,1,12,11,9,8,12,13,17,18,10,18,23,51,47,69,50,8,56,27,62,9,36,12,9,46,15,62,11,6,9,67,67,69,69,64
221619,26,182.88,77.1,68,71,950000,1,2,34,34,58,64,31,62,34,30,64,61,68,69,65,59,59,40,59,52,71,46,81,71,26,48,44,56,68,69,67,15,14,15,10,7
171954,35,154.94,69.9,68,68,375000,1,3,79,67,40,74,57,72,80,77,76,71,52,40,63,53,64,81,61,52,53,77,54,56,60,75,74,68,64,42,40,8,12,6,8,15
214194,25,175.26,74.8,68,72,975000,1,2,68,26,54,63,28,53,31,45,51,57,75,79,81,65,75,64,81,86,64,45,70,68,42,60,53,56,55,66,68,7,14,7,10,12
205234,30,185.42,84.8,68,68,900000,1,3,43,63,67,66,62,72,70,49,52,69,70,71,71,64,54,70,70,82,81,64,52,22,65,46,61,59,55,20,19,10,7,9,13,12
179633,31,185.42,74.8,68,68,575000,1,3,67,66,56,68,65,71,69,59,57,72,77,79,82,74,65,70,53,81,70,72,74,57,64,70,51,72,65,59,53,14,13,12,15,13
239025,19,187.96,73,68,81,1700000,1,4,46,68,62,55,48,75,48,50,43,66,86,78,75,56,45,75,68,58,63,66,35,11,65,48,71,58,11,14,16,10,7,8,6,15
231601,24,154.94,73.9,68,73,1200000,1,3,53,68,66,57,55,68,33,31,41,72,79,76,77,66,66,58,62,71,56,56,45,34,72,53,70,63,45,23,22,7,13,12,11,8
231344,22,175.26,69.9,68,75,1300000,1,3,48,70,59,58,53,64,43,27,36,68,91,88,79,73,72,57,70,69,48,49,57,27,72,54,71,65,31,23,16,9,12,5,12,7
225200,21,152.4,68.9,68,75,1300000,1,3,65,66,59,64,49,65,42,41,63,69,80,75,75,60,68,58,70,68,61,57,47,33,67,63,58,55,35,25,31,6,12,12,15,8
205232,26,152.4,68.9,68,71,1100000,1,3,59,39,52,72,42,67,43,45,72,69,63,66,69,65,81,69,63,76,68,56,62,45,63,68,52,69,63,60,61,10,11,15,14,15
